Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
2,GMRS2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
3,GMRS3,462.612500,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
4,GMRS4,462.637500,,0.000000,DTCS,88.5,88.5,114,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
5,GMRS5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
6,GMRS6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
7,GMRS7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
8,GMRS8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
9,GMRS9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
10,GMRS10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
11,GMRS11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
12,GMRS12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
13,GMRS13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
14,GMRS14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
15,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
16,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
17,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
18,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
